회사이름,공고이름,url,경력,지역,직무,사이트
워크맨그룹주식회사,데이터사이언티스트/ai 엔지니어 [국내 대기업],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49482413&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력 7~15년,서울,데이터 사이언티스트,saramin
메타써치,[국내 top 핀테크 대기업]데이터 사이언티스트,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49547902&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력 8~12년,경기,데이터 사이언티스트,saramin
페니로이스,data scientist in financial 경력직 채용(7~10년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49571979&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력 7~10년,서울,데이터 사이언티스트,saramin
페니로이스,data scientist in financial 경력직 채용(1~3년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49571976&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050,경력 1~3년,서울,데이터 사이언티스트,saramin
페니로이스,data scientist in financial 경력직 채용(4~6년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49571986&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=26df77da-6770-4850-9a18-f5f6a0410f04,경력 4~6년,서울,데이터 사이언티스트,saramin
포지큐브,Senior Backend Development,https://www.wanted.co.kr/wd/245694,경력 5-15년,서울,데이터 사이언티스트,wanted
앰버로드,UI 설계 및 Front-End Engineer,https://www.wanted.co.kr/wd/202630,경력 3-5년,서울,데이터 사이언티스트,wanted
와이즐리컴퍼니,웹PM (Web Product Manager),https://www.wanted.co.kr/wd/254043,경력 1년 이상,서울,데이터 사이언티스트,wanted
이마고웍스,Data Pipeline Team Leader,https://www.wanted.co.kr/wd/197658,경력 2-10년,서울,데이터 사이언티스트,wanted
여기어때컴퍼니,User Behavior Team Leader,https://www.wanted.co.kr/wd/229740,경력 7-15년,서울,데이터 사이언티스트,wanted
피플리,Data Scientist (5년이상),https://www.wanted.co.kr/wd/237897,경력 5년 이상,서울,데이터 사이언티스트,wanted
디오에프연구소,3D Geometry SW 엔지니어,https://www.wanted.co.kr/wd/208068,경력 1-15년,서울,데이터 사이언티스트,wanted
오케스트로,Data Service Developer (IR Back End),https://www.wanted.co.kr/wd/247640,경력 2-5년,대전,데이터 사이언티스트,wanted
한국그린데이터,Data Scientist,https://www.wanted.co.kr/wd/210157,경력 3-7년,서울,데이터 사이언티스트,wanted
코너스톤파트너스디지털,Operation / Digital Consultant,https://www.wanted.co.kr/wd/178246,신입-경력 5년,서울,데이터 사이언티스트,wanted
트릿지,Data Scientist (산업기능요원),https://www.wanted.co.kr/wd/249959,신입-경력 5년,서울,데이터 사이언티스트,wanted
에스케이쉴더스,[사이버보안AI랩스] Data Scientist,https://www.wanted.co.kr/wd/253145,경력 7-20년,경기,데이터 사이언티스트,wanted
마인즈앤컴퍼니,DataScientist (전문연 지원 가능),https://www.wanted.co.kr/wd/215981,경력 3-10년,서울,데이터 사이언티스트,wanted
앰버로드,Data Scientist,https://www.wanted.co.kr/wd/191938,경력 2년 이상,서울,데이터 사이언티스트,wanted
바이온사이트,Data Scientist,https://www.wanted.co.kr/wd/167495,경력 3-10년,서울,데이터 사이언티스트,wanted
바잉스퀘어,Data Scientist,https://www.wanted.co.kr/wd/247294,경력 3년 이상,서울,데이터 사이언티스트,wanted
딥인사이트,Data Scientist,https://www.wanted.co.kr/wd/214061,경력 1-10년,경기,데이터 사이언티스트,wanted
바이트사이즈,인공지능 R&D 전문가,https://www.wanted.co.kr/wd/255037,경력 5년 이상,부산,데이터 사이언티스트,wanted
라이너,Data Scientist,https://www.wanted.co.kr/wd/254584,경력 3-15년,서울,데이터 사이언티스트,wanted
몰로코,Senior/Staff Data Scientist - Growth Analytics,https://www.wanted.co.kr/wd/189666,경력 5-20년,서울,데이터 사이언티스트,wanted
야놀자Tech,Data Scientist,https://www.wanted.co.kr/wd/253693,경력 2-5년,서울,데이터 사이언티스트,wanted
데이블,Data Scientist (3년 이상),https://www.wanted.co.kr/wd/251917,경력 3년 이상,서울,데이터 사이언티스트,wanted
여기어때컴퍼니,Data Scientist,https://www.wanted.co.kr/wd/245677,경력 5-12년,서울,데이터 사이언티스트,wanted
에이비일팔공,Data Scientist (병역특례 가능),https://www.wanted.co.kr/wd/250816,경력 2년 이상,서울,데이터 사이언티스트,wanted
빅밸류,Data Scientist,https://www.wanted.co.kr/wd/242110,신입-경력 5년,서울,데이터 사이언티스트,wanted
빅밸류,LLM Engineer,https://www.wanted.co.kr/wd/241120,신입-경력 5년,서울,데이터 사이언티스트,wanted
