회사이름,공고이름,url,경력,지역,직무,사이트
제이씨현시스템,제이씨현시스템(주) ai연구소장 채용 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45945928?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=70,경력5년↑,서울,AI 개발자,jobkorea
웨이센,ai research engineer 시니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45945687?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=72,경력5년↑,서울,AI 개발자,jobkorea
퀀텀에이아이,[ai saas 기업] 인공지능 r&d 연구원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46015666?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=74,경력무관,서울,AI 개발자,jobkorea
라이온하트스튜디오,[라이온하트 스튜디오] ai 아트 연구 인재 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45884221?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=75,경력무관,경기,AI 개발자,jobkorea
도슨티,급성장 ai 스타트업 docenty.ai 서비스 개발 수퍼 개발자 전 직종 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45852434?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=76,경력,서울,AI 개발자,jobkorea
위키드스톰,연구소 ai팀 개발 팀장급 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45758084?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=77,경력10년↑,서울,AI 개발자,jobkorea
스피랩,경력 ai 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46072128?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=78,경력,서울,AI 개발자,jobkorea
메타빌드,메타빌드(주) ai 개발자 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45906098?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=79,경력무관,서울,AI 개발자,jobkorea
스마일게이트홀딩스,[스마일게이트 엔터테인먼트] [ai센터] 음성 합성 및 인식 연구개발 담당,https://www.jobkorea.co.kr/Recruit/GI_Read/45991663?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=80,경력2년↑,경기,AI 개발자,jobkorea
서울아산병원,[서울아산병원 연구중심육성과제] ai scientist 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46083089?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=81,경력,서울,AI 개발자,jobkorea
케타버스,ai 개발자 겸 플랫폼 개발(시스템 엔지니어) 구인/재택근무 가능,https://www.jobkorea.co.kr/Recruit/GI_Read/46018710?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=82,경력,전남,AI 개발자,jobkorea
매드업,[테크사업부] ai engineer 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46027977?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=83,경력3년↑,서울,AI 개발자,jobkorea
플랜바이테크놀로지스,[planby technologies 신입/경력] ai 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45882905?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=84,경력무관,서울,AI 개발자,jobkorea
라미랩,ai 개발 경력자 모집 (3년차 이상),https://www.jobkorea.co.kr/Recruit/GI_Read/45772860?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=85,경력3년↑,대전,AI 개발자,jobkorea
이씨마이너,"빅데이터/ai 솔루션 개발자/c++/신입,경력 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45948420?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=88,신입·경력,서울,AI 개발자,jobkorea
보스반도체,adas npu ai sw engineer,https://www.jobkorea.co.kr/Recruit/GI_Read/46054821?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=90,경력무관,경기,AI 개발자,jobkorea
이에이치알앤씨,"환경 분야 머신러닝, ai 연구 석사연구원 / 전문연구요원",https://www.jobkorea.co.kr/Recruit/GI_Read/45812901?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=91,신입,인천,AI 개발자,jobkorea
이씨마이너,빅데이터/ai 분석전문가,https://www.jobkorea.co.kr/Recruit/GI_Read/45948530?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=92,신입·경력,서울,AI 개발자,jobkorea
오아시스스토리,ai개발[행동인식 패턴인식 카메라 영상 처리],https://www.jobkorea.co.kr/Recruit/GI_Read/45854977?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=93,경력무관,대전,AI 개발자,jobkorea
스피링크,[인재풀] llm 기반 ai 서비스 개발 프리랜서 상시 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45924781?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=94,경력3년↑,서울,AI 개발자,jobkorea
에이씨엠리서치코리아,[미국계 반도체 장비사] ai engineer 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46003035?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=95,경력1년↑,경기,AI 개발자,jobkorea
