회사이름: 에스케이쉴더스, 공고이름: [사이버보안ai랩스] data scientist 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474128&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력7년↑, 지역: 경기, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 델타엑스, 공고이름: 딥러닝/3d 비전/data scientist 병역특례(전문연구요원), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49503732&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력무관, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 주식회사고픽커뮤니케이션, 공고이름: [고픽커뮤니케이션] 스포츠 데이터 사이언티스트, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49481640&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력 5~10년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 인사이터, 공고이름: (경력) 데이터 사이언티스트를 모십니다, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49508214&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력 2~5년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 클로잇, 공고이름: [클로잇] data scientist pm급 채용 (경력), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49527357&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력10년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 데이블, 공고이름: senior data scientist (3년 이상), url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49428086&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력 3~7년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 엔터웨이파트너스, 공고이름: 스포츠 데이터 사이언티스트 (5년 이상)-스포츠 라이브 서비스, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483667&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력5년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 베스트네트워크, 공고이름: 17. 데이터사이언티스트 [외국계 금융사], url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49504522&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력4년↑, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 딥인사이트, 공고이름: data scientist, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49568088&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 신입·경력, 지역: 경기, 직무: 데이터 사이언티스트, 사이트: saramin
회사이름: 피플온, 공고이름: [국내 대형 금융사] 데이터 사이언티스트 경력직 채용, url: https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540339&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=a867ffbe-cfd6-43d5-b44b-cd51daaf6050, 경력: 경력 8~14년, 지역: 서울, 직무: 데이터 사이언티스트, 사이트: saramin
