회사이름: 에스디바이오센서, 공고이름: [12월/경력/청담] ai(알고리즘) 개발 팀장 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46077509?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=40, 경력: 경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 엔에이치엔, 공고이름: [nhn] 음성 ai 연구/개발, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45799959?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=41, 경력: 경력무관, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 펄어비스, 공고이름: [펄어비스] [신입/경력] ai 엔지니어 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46012629?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=43, 경력: 경력무관, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 뉴엔에이아이, 공고이름: [신입/경력] 인공지능 딥러닝 개발자 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45976037?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=44, 경력: 신입·경력1년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 알서포트, 공고이름: [코스닥상장사] ai 기반 제품/서비스 개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45991651?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=45, 경력: 경력3년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 가온그룹, 공고이름: [가온그룹] ai 백엔드 개발 담당 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45966069?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=47, 경력: 경력무관, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 알라딘커뮤니케이션, 공고이름: ai 엔지니어 개발자, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45962660?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=48, 경력: 경력5년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 제타모빌리티, 공고이름: ai 소프트웨어 엔지니어 신입 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46060271?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=49, 경력: 신입, 지역: 대전, 직무: AI 개발자, 사이트: jobkorea
회사이름: 두원전자통신, 공고이름: [(주)두원전자통신] 인공지능 ai 서비스 개발 및 유지보수 경력직(팀장급), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46073728?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=50, 경력: 경력6년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 제타모빌리티, 공고이름: ai 소프트웨어 엔지니어 경력직 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46060216?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=52, 경력: 경력, 지역: 대전, 직무: AI 개발자, 사이트: jobkorea
회사이름: 인피닉, 공고이름: [인공지능 연구소] 인공지능 및 지식그래프 연구/개발 신입 및 경력 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45987107?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=53, 경력: 경력무관, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 오프리메드, 공고이름: (주)오프리메드 ai 개발자 공개채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45987975?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=54, 경력: 경력5년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 씨어스테크놀로지, 공고이름: [경력] ai 연구/개발 담당자, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46052361?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=55, 경력: 경력5년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 에너자이, 공고이름: 에너자이 ai 컴파일러 엔지니어 채용 공고 (전문연구요원 가능), url: https://www.jobkorea.co.kr/Recruit/GI_Read/46036062?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=56, 경력: 경력무관, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 로민, 공고이름: 멀티모달 ai 엔지니어 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46033415?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=59, 경력: 경력2년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 딥브레인AI, 공고이름: [딥브레인ai] 딥러닝 연구원 / 엔지니어 모집 (전문연구요원 가능), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45811973?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=61, 경력: 신입·경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 스카이블루, 공고이름: ai개발 및 플랫폼 고도화 구성원 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45954077?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=62, 경력: 경력5년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 투디지트, 공고이름: ai engineer 채용 공고, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45908333?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=64, 경력: 경력2년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 엔티엘헬스케어, 공고이름: [병역특례 우대] (주)엔티엘헬스케어 ai 개발자 연구원, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46016360?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=65, 경력: 신입·경력3년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 디비엔텍, 공고이름: [병역특례 우대] ai(deep learning)기반 object detection 개발자 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46032857?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=66, 경력: 경력무관, 지역: 인천, 직무: AI 개발자, 사이트: jobkorea
회사이름: 가온그룹, 공고이름: [가온그룹] ai 비전 개발 담당 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45966004?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=67, 경력: 경력무관, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 원익로보틱스, 공고이름: 각 분야별 경력직 채용 - 선행기술팀 ai개발, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45798610?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=69, 경력: 경력, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 제이씨현시스템, 공고이름: 제이씨현시스템(주) ai연구소장 채용 (경력), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45945928?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=70, 경력: 경력5년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 웨이센, 공고이름: ai research engineer 시니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45945687?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=72, 경력: 경력5년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 퀀텀에이아이, 공고이름: [ai saas 기업] 인공지능 r&d 연구원 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46015666?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=74, 경력: 경력무관, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 라이온하트스튜디오, 공고이름: [라이온하트 스튜디오] ai 아트 연구 인재 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45884221?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=75, 경력: 경력무관, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 도슨티, 공고이름: 급성장 ai 스타트업 docenty.ai 서비스 개발 수퍼 개발자 전 직종 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45852434?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=76, 경력: 경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 위키드스톰, 공고이름: 연구소 ai팀 개발 팀장급 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45758084?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=77, 경력: 경력10년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 스피랩, 공고이름: 경력 ai 개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46072128?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=78, 경력: 경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 메타빌드, 공고이름: 메타빌드(주) ai 개발자 인재 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45906098?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=79, 경력: 경력무관, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 스마일게이트홀딩스, 공고이름: [스마일게이트 엔터테인먼트] [ai센터] 음성 합성 및 인식 연구개발 담당, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45991663?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=80, 경력: 경력2년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 서울아산병원, 공고이름: [서울아산병원 연구중심육성과제] ai scientist 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46083089?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=81, 경력: 경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 케타버스, 공고이름: ai 개발자 겸 플랫폼 개발(시스템 엔지니어) 구인/재택근무 가능, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46018710?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=82, 경력: 경력, 지역: 전남, 직무: AI 개발자, 사이트: jobkorea
회사이름: 매드업, 공고이름: [테크사업부] ai engineer 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46027977?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=83, 경력: 경력3년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 플랜바이테크놀로지스, 공고이름: [planby technologies 신입/경력] ai 개발자 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45882905?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=84, 경력: 경력무관, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 라미랩, 공고이름: ai 개발 경력자 모집 (3년차 이상), url: https://www.jobkorea.co.kr/Recruit/GI_Read/45772860?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=85, 경력: 경력3년↑, 지역: 대전, 직무: AI 개발자, 사이트: jobkorea
회사이름: 이씨마이너, 공고이름: 빅데이터/ai 솔루션 개발자/c++/신입,경력 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45948420?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=88, 경력: 신입·경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 보스반도체, 공고이름: adas npu ai sw engineer, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46054821?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=90, 경력: 경력무관, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 이에이치알앤씨, 공고이름: 환경 분야 머신러닝, ai 연구 석사연구원 / 전문연구요원, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45812901?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=91, 경력: 신입, 지역: 인천, 직무: AI 개발자, 사이트: jobkorea
회사이름: 이씨마이너, 공고이름: 빅데이터/ai 분석전문가, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45948530?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=92, 경력: 신입·경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 오아시스스토리, 공고이름: ai개발[행동인식 패턴인식 카메라 영상 처리], url: https://www.jobkorea.co.kr/Recruit/GI_Read/45854977?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=93, 경력: 경력무관, 지역: 대전, 직무: AI 개발자, 사이트: jobkorea
회사이름: 스피링크, 공고이름: [인재풀] llm 기반 ai 서비스 개발 프리랜서 상시 모집, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45924781?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=94, 경력: 경력3년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 에이씨엠리서치코리아, 공고이름: [미국계 반도체 장비사] ai engineer 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46003035?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=95, 경력: 경력1년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 와탭랩스, 공고이름: ai/ml 엔지니어, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45949336?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=96, 경력: 경력5년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 에듀템, 공고이름: 인공지능 기술개발 및 연구, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45949381?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=103, 경력: 신입·경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 펀진, 공고이름: 시계열 데이터 ai 모델 개발자 경력직 (유관 경력 2년이상) 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45995103?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=104, 경력: 경력2년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 메이킷올, 공고이름: 에듀테크 sw.ai 교육 콘텐츠 기획 및 개발자, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46052963?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=105, 경력: 경력무관, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 비솔, 공고이름: [가산] 컴퓨터 비전 ai 개발, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45944645?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=106, 경력: 경력5년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 루미르, 공고이름: 인공위성기업 [루미르] ai 컴퓨터 비전 연구원 채용 [전문연구요원 가능], url: https://www.jobkorea.co.kr/Recruit/GI_Read/46012966?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=107, 경력: 경력3년↑, 지역: 경기, 직무: AI 개발자, 사이트: jobkorea
회사이름: 에이치엘홀딩스, 공고이름: dt(data scientist ai 엔지니어) 담당자 경력 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/46076976?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=110, 경력: 경력, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 노리스페이스, 공고이름: 업무 자동화를 함께 이끌 senior ai researcher분을 모십니다, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45744213?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=113, 경력: 경력3년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
회사이름: 씨드로닉스, 공고이름: back-end (ai데이터플랫폼) 개발자 채용, url: https://www.jobkorea.co.kr/Recruit/GI_Read/45747045?Oem_Code=C1&logpath=1&stext=AI%20%EA%B0%9C%EB%B0%9C%EC%9E%90&listno=114, 경력: 경력2년↑, 지역: 서울, 직무: AI 개발자, 사이트: jobkorea
