회사이름,공고이름,url,경력,지역,직무,사이트
트릿지,[tridge] data engineer (산업기능요원),https://www.jobkorea.co.kr/Recruit/GI_Read/46030500?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=62,경력무관,서울,데이터 엔지니어,jobkorea
클라우드네트웍스,[클라우드네트웍스] 빅데이터 솔루션 엔지니어 모집 (신입/경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45969184?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=63,신입·경력,서울,데이터 엔지니어,jobkorea
마인드에이아이,data engineer,https://www.jobkorea.co.kr/Recruit/GI_Read/46053566?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=64,신입·경력2년↑,서울,데이터 엔지니어,jobkorea
주식회사더스윙,데이터 애널리틱 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45953764?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=67,경력3년↑,서울,데이터 엔지니어,jobkorea
가야데이터,데이터백업 솔루션 엔지니어/시스템엔지니어 경력,https://www.jobkorea.co.kr/Recruit/GI_Read/46050049?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=68,경력3년↑,서울,데이터 엔지니어,jobkorea
한국딥러닝,ai 엔지니어(데이터),https://www.jobkorea.co.kr/Recruit/GI_Read/46026864?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=69,경력3년↑,서울,데이터 엔지니어,jobkorea
가야데이터,데이터백업 솔루션 엔지니어/시스템엔지니어 신입,https://www.jobkorea.co.kr/Recruit/GI_Read/46050021?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=70,신입,경남,데이터 엔지니어,jobkorea
한국데이터복구센터본점,컴퓨터수리 및 데이터복구 엔지니어 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/46058179?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=71,경력무관,서울,데이터 엔지니어,jobkorea
위앤유텍,빅데이터 솔루션 (elastic) 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/46076633?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=72,경력무관,서울,데이터 엔지니어,jobkorea
인젠트,"[인젠트] 데이터베이스 사업- db엔지니어, da, 튜너 경력 채용",https://www.jobkorea.co.kr/Recruit/GI_Read/45969434?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=73,경력3년↑,서울,데이터 엔지니어,jobkorea
디토닉,데이터 플랫폼 개발 리드 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/46042921?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=74,경력7년↑,경기,데이터 엔지니어,jobkorea
제이슨,[안랩-제이슨] (경력) 빅데이터 구축 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46083353?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=75,경력5년↑,서울,데이터 엔지니어,jobkorea
아워콤,[과천] m생명 데이터센터 위탁운영 보안/네트워크 엔지니어 모집합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/46063599?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=76,경력5년↑,경기,데이터 엔지니어,jobkorea
타임게이트,빅데이터(splunk) 신입 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46034828?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=77,신입,서울,데이터 엔지니어,jobkorea
스트라드비젼,데이터 파이프라인 백엔드 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45955669?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=80,경력5년↑,서울,데이터 엔지니어,jobkorea
삼건이엔씨,미래사업 데이터센터 냉동공조 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45794847?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=83,경력무관,서울,데이터 엔지니어,jobkorea
실리콘스튜디오코리아,자동차 3d 데이터 기술 지원 엔지니어 신입 및 경력 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46040399?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=88,신입·경력,서울,데이터 엔지니어,jobkorea
데이타뱅크,"(서울)dba, oracle db, sql tuning, cdc 엔지니어 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/45920297?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=89,경력3년↑,서울,데이터 엔지니어,jobkorea
디토닉,[디토닉] 데이터허브 솔루션 개발 리드 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45997275?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=90,경력7년↑,경기,데이터 엔지니어,jobkorea
피알시스템,[보안솔루션 엔지니어 db암호화(d`amo)] 경력 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46035872?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=94,경력3년↑,서울,데이터 엔지니어,jobkorea
아워콤,[과천] m생명 데이터센터 운영 사업 windows server 엔지니어 모집합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/46063559?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=95,경력5년↑,경기,데이터 엔지니어,jobkorea
유원엔지니어링,데이터센터 쿨링 세일즈엔지니어 (신입 및 경력),https://www.jobkorea.co.kr/Recruit/GI_Read/46064362?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=96,신입·경력,서울,데이터 엔지니어,jobkorea
세림티에스지,[데이터센터사업부/대전] 시스템 엔지니어 및 유지관리 se 운영,https://www.jobkorea.co.kr/Recruit/GI_Read/45988686?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=98,경력10년↑,대전,데이터 엔지니어,jobkorea
씨앤토트플러스,"이천] 데이터센터 시스템 운영원 모집(향후 엔지니어 전환 가능)신입가능,",https://www.jobkorea.co.kr/Recruit/GI_Read/46065381?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=100,신입·경력1년↑,경기,데이터 엔지니어,jobkorea
아이티원,[컴퓨터수리] as 외근 엔지니어 모집 ( pc.노트북/데이터복구/초보자교육가능/경력자우대 ),https://www.jobkorea.co.kr/Recruit/GI_Read/45957262?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=102,경력무관,서울,데이터 엔지니어,jobkorea
비바리퍼블리카,[토스페이먼츠] data engineer,https://www.jobkorea.co.kr/Recruit/GI_Read/46023017?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=120,경력,서울,데이터 엔지니어,jobkorea
다날,다날 dba·데이터엔지니어링 부문 경력 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46079823?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=121,경력10년↑,경기,데이터 엔지니어,jobkorea
컴퓨터수리,데이터복구 엔지니어 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/46090031?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=139,경력무관,서울,데이터 엔지니어,jobkorea
컴퓨터수리,데이터복구 엔지니어 모집 [워라밸],https://www.jobkorea.co.kr/Recruit/GI_Read/46090512?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=140,경력무관,서울,데이터 엔지니어,jobkorea
엔미디어플랫폼,데이터엔지니어 인재모집,https://jumpit.saramin.co.kr/position/38573,경력 5~12년,서울,데이터 엔지니어,jumpit
워트인텔리전스,데이터 엔지니어 (8년 이상),https://jumpit.saramin.co.kr/position/37991,경력 8~12년,서울,데이터 엔지니어,jumpit
알스퀘어,데이터 엔지니어,https://jumpit.saramin.co.kr/position/39493,경력 5~15년,서울,데이터 엔지니어,jumpit
워트인텔리전스,데이터 엔지니어 (3년 이상),https://jumpit.saramin.co.kr/position/37990,경력 3~5년,서울,데이터 엔지니어,jumpit
레진엔터테인먼트,데이터 엔지니어 (경력),https://jumpit.saramin.co.kr/position/38306,경력 5~10년,서울,데이터 엔지니어,jumpit
에프엘이에스,데이터 엔지니어 경력직 채용,https://jumpit.saramin.co.kr/position/37788,경력 2~6년,서울,데이터 엔지니어,jumpit
사람인,[사람인] 데이터 엔지니어 (전환형인턴),https://jumpit.saramin.co.kr/position/39038,신입~3년,서울,데이터 엔지니어,jumpit
백패커,[아이디어스] 데이터 엔지니어 (data engineer),https://jumpit.saramin.co.kr/position/38103,경력 3~7년,서울,데이터 엔지니어,jumpit
호전실업,"데이터 분석, ai엔지니어 채용 (8~10년)",https://jumpit.saramin.co.kr/position/39187,경력 8~10년,서울,데이터 엔지니어,jumpit
호전실업,"데이터 분석, ai엔지니어 채용 (4~7년)",https://jumpit.saramin.co.kr/position/39186,경력 4~7년,서울,데이터 엔지니어,jumpit
폼즈,[생성ai] 프롬프트 엔지니어 (스테이블 디퓨전 데이터 가공 및 실험),https://jumpit.saramin.co.kr/position/38136,신입~5년,서울,데이터 엔지니어,jumpit
딥인사이트,data engineer,https://jumpit.saramin.co.kr/position/39788,신입,경기,데이터 엔지니어,jumpit
업스테이지,senior data engineer - llm,https://jumpit.saramin.co.kr/position/39331,경력 7~15년,경기,데이터 엔지니어,jumpit
엑심베이,data engineer,https://jumpit.saramin.co.kr/position/39145,신입~10년,서울,데이터 엔지니어,jumpit
바로팜,데이터 엔지니어 경력 채용,https://jumpit.saramin.co.kr/position/38280,경력 5~12년,서울,데이터 엔지니어,jumpit
카카오스타일,데이터 엔지니어,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49198548&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53,경력5년↑,경기,데이터 엔지니어,saramin
에스티로직,데이터 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49306212&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53,경력5년↑,서울,데이터 엔지니어,saramin
유클릭,[데이터 클라우드 플랫폼 개발자 채용] 데이터엔지니어 ,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49550888&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53,경력3년↑,경기,데이터 엔지니어,saramin
한국에스리,[데이터엔지니어] data enginer,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492746&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53,신입·경력,인천,데이터 엔지니어,saramin
라온피플,데이터엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49422944&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53,경력5년↑,경기,데이터 엔지니어,saramin
카페24,[데이터그룹] 데이터 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49326429&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53,경력2년↑,서울,데이터 엔지니어,saramin
다날,다날  dba·데이터엔지니어링 부문 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49558524&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=075f2feb-14c3-405a-bdd0-4574dfaa7b53,경력10년↑,경기,데이터 엔지니어,saramin
