company,title,url,exp,edu,typ,loc,date,job_name
루미르㈜,인공위성기업 [루미르] AI 컴퓨터 비전 연구원 채용 [전문연구요원 가능],https://www.jobkorea.co.kr/Recruit/GI_Read/46012966?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=99,경력3년↑,대졸↑,정규직,경기 용인시,D-17,머신러닝 엔지니어
㈜델타엑스,AI 연구원 및 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45944544?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=100,경력무관,대졸↑,정규직,서울 구로구,D-7,머신러닝 엔지니어
매드업,[테크사업부] AI Engineer 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46027977?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=101,경력3년↑,대졸↑,정규직,서울 서초구,D-21,머신러닝 엔지니어
㈜네비웍스,AI 개발자(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45997908?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=102,경력1년↑,대졸↑,정규직,경기 안양시,D-13,머신러닝 엔지니어
펜타시큐리티㈜,정보보안 R&D 연구 담당자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/45738843?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=104,신입·경력,학력무관,정규직 외,서울 영등포구,D-3,머신러닝 엔지니어
창신아이엔씨,2024년 12월 경력직 수시채용 (IPA),https://www.jobkorea.co.kr/Recruit/GI_Read/46075244?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=105,경력,대졸↑,정규직,부산 사하구,D-9,머신러닝 엔지니어
㈜연합인포맥스,연합인포맥스 금융공학연구소 신입/경력 사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46076951?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=106,신입·경력,학력무관,정규직,서울 종로구,D-8,머신러닝 엔지니어
㈜미르이즈,연구소 AI 응용프로그램 개발 및 서비스 기획 경력직 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46006675?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=107,신입·경력4년↑,대졸↑,정규직,광주 북구,D-20,머신러닝 엔지니어
㈜미르이즈,연구소 AI 응용프로그램 및 서비스 개발 연구원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/46003403?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=108,신입·경력4년↑,대졸↑,정규직,광주 북구,D-20,머신러닝 엔지니어
가온그룹㈜,[가온그룹] AI 백엔드 개발 담당 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45966069?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=109,경력무관,초대졸↑,정규직,경기 성남시,D-9,머신러닝 엔지니어
메디픽셀,[Medipixel] Marketing Manager,https://www.jobkorea.co.kr/Recruit/GI_Read/46079754?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=110,경력5년↑,대졸↑,정규직,서울 강남구,D-29,머신러닝 엔지니어
㈜파밀리데이터,인공지능(AI) 및 빅데이터 처리/분석,https://www.jobkorea.co.kr/Recruit/GI_Read/45915514?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=111,경력무관,대졸↑,정규직,경기 안양시 외,오늘마감,머신러닝 엔지니어
비솔,[가산] 컴퓨터 비전 AI 개발,https://www.jobkorea.co.kr/Recruit/GI_Read/45944645?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=112,경력5년↑,학력무관,정규직,서울 금천구,D-20,머신러닝 엔지니어
한국IT교육원,채용약정형 AI 헬스케어 개발 부트캠프,https://www.jobkorea.co.kr/Recruit/GI_Read/46040843?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=113,신입·경력,학력무관,연수생/교육생,대구 동구 외,D-16,머신러닝 엔지니어
파인트리파트너스㈜,함께 성장할 생성형 AI 엔지니어를 모집합니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/46083628?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=114,신입·경력3년↑,대졸↑,정규직,서울 마포구,D-29,머신러닝 엔지니어
플레이콘,[플레이콘] 개발 직군 ai개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45986569?Oem_Code=C1&logpath=1&stext=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=115,경력무관,학력무관,정규직 외,제주 제주시,D-14,머신러닝 엔지니어
