company,title,url,exp,edu,typ,loc,job_name
㈜이스트에이드,데이터 엔지니어 시니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45887357?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=4,경력4년↑,학력무관,정규직,서울,데이터 엔지니어
㈜넥슨,[기술본부] 데이터최적화팀 데이터 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45689858?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=5,경력3년↑,학력무관,정규직,경기,데이터 엔지니어
㈜미리디,[미리디] 데이터 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45849657?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=6,경력5년↑,학력무관,정규직,서울,데이터 엔지니어
Upstage,llm 시니어 데이터 엔지니어,https://www.jobkorea.co.kr/Recruit/GI_Read/45901824?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=7,경력무관,학력무관,정규직,경기,데이터 엔지니어
㈜기어세컨드,데이터 엔지니어(de) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/46009474?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=9,경력3년↑,학력무관,정규직,서울,데이터 엔지니어
㈜코세틱,[cosetic] 데이터 엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45790860?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=10,경력무관,초대졸↑,정규직,서울,데이터 엔지니어
㈜카카오페이,데이터 엔지니어 - 데이터플랫폼팀,https://www.jobkorea.co.kr/Recruit/GI_Read/46016288?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=11,경력5년↑,학력무관,정규직,경기,데이터 엔지니어
로이드케이,빅데이터 솔루션 데이터 엔지니어(경력) 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/45944194?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=13,경력5년↑,대졸↑,정규직,경기,데이터 엔지니어
㈜카카오페이,[계약직] 데이터 엔지니어 - 분석 mart / bi 담당자,https://www.jobkorea.co.kr/Recruit/GI_Read/46016291?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=14,경력4년↑,학력무관,정규직 외,경기,데이터 엔지니어
㈜커넥트웨이브,[커넥트웨이브] 메이크샵 데이터 엔지니어 채용(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/45844834?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%20%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&listno=15,경력3년↑,학력무관,정규직,서울,데이터 엔지니어
