회사,제목,URL,경력,계약형태,지역,지역(구),직무
(주)엔플럭스,공공기관 da(데이터 분석업무) 인력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49439351&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력무관,정규직,서울,도봉구,데이터 분석가
(주)브릭,데이터분석가(경력 5년 이상) 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49358475&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력5년↑,정규직,경기,성남시 분당구,데이터 분석가
(주)기어세컨드,[기어세컨드] 데이터 분석가 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49444756&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력무관,정규직,서울,마포구,데이터 분석가
콘센트릭스서비스코리아(유),비즈니스 컨설턴트 (data 분석),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49298125&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력 5~12년,정규직,서울,강남구,데이터 분석가
이노뎁(주),"si 프로젝트 데이터 분석,설계 경력 채용 (계약직)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49234753&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력 5~10년,계약직,서울,금천구,데이터 분석가
한패스(주),[한패스(주)/데이터분석팀] 데이터분석가(data analyst) 담당자,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49520200&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력 3~20년,정규직,서울,성동구,데이터 분석가
씨앤토트(주),"빅데이터 분석 시스템 모델러, 데이터 아키텍트 (da) (경력)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49327880&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력5년↑,정규직,서울,서초구,데이터 분석가
한국평가데이터(주),(db분석 및 마케팅) 한국평가데이터 계약직원 수시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49487327&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력무관,계약직,서울,영등포구,데이터 분석가
십일번가(주),[11번가] 데이터분석 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49427791&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력5년↑,정규직,경기,광명시,데이터 분석가
(주)에임드,[ua팀] 모바일게임 데이터 분석가 (주니어),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49470513&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=e2706bf0-b6fc-4323-89b6-6f8223f7c2b0,경력1년↑,정규직,서울,서초구,데이터 분석가
